unitid,instnm,domain,source,status
103909,Carrington College-Mesa,carrington.edu,google,ok
103927,Carrington College-Tucson,carrington.edu,google,ok
103954,Arizona Academy of Beauty,arizonaacademy.com,google,ok
103963,Miller-Motte College-Arizona Automotive Institute,aai.edu,google,ok
104090,Brookline College-Phoenix,brooklinecollege.edu,google,ok
104151,Arizona State University Campus Immersion,asu.edu,google,ok
104160,Arizona Western College,azwestern.edu,google,ok
104179,University of Arizona,arizona.edu,google,ok
104346,Central Arizona College,centralaz.edu,google,ok
104391,Charles of Italy Beauty College,charlesofitaly.edu,placeholder,ok
104425,Cochise County Community College District,cochise.edu,google,ok
104443,Empire Beauty School-Chandler,empire.edu,placeholder,ok
104568,Avalon Institute-Mesa,avalon.edu,google,ok
104577,Eastern Arizona College,eac.edu,google,ok
104586,Embry-Riddle Aeronautical University-Prescott,prescott.erau.edu,wikipedia,ok
104665,The School of Architecture,tsoa.edu,google,ok
104708,Glendale Community College,gccaz.edu,wikipedia,ok
104717,Grand Canyon University,gcu.edu,google,ok
105136,Maricopa Community College System Office,maricopa.edu,google,ok
105145,GateWay Community College,gatewaycc.edu,placeholder,ok
105154,Mesa Community College,mesacc.edu,duckduckgo,ok
105206,Mohave Community College,mohave.edu,google,ok
105215,Universal Technical Institute-Phoenix,uti.edu,google,ok
105297,Dine College,dinecollege.edu,google,ok
105330,Northern Arizona University,nau.edu,google,ok
105349,Northland Pioneer College,npc.edu,google,ok
105428,Phoenix College,phoenixcollege.edu,google,ok
105525,Pima Community College,pima.edu,google,ok
105534,Pima Medical Institute-Tucson,pmi.edu,google,ok
105543,Pima Medical Institute-Albuquerque,pmi.edu,google,ok
105589,Prescott College,prescott.edu,google,ok
105659,Refrigeration School Inc,rsi.edu,google,ok
105668,Rio Salado College,riosalado.edu,google,ok
105677,Roberto-Venn School of Luthiery,roberto-venn.com,google,ok
105747,Scottsdale Community College,scottsdalecc.edu,placeholder,ok
105792,South Mountain Community College,southmountaincc.edu,placeholder,ok
105899,Arizona Christian University,arizonachristian.edu,google,ok
106041,Universal Technical Institute of Arizona Inc,uti.edu,google,ok
106148,Yavapai College,yc.edu,google,ok
106245,University of Arkansas at Little Rock,ualr.edu,google,ok
106263,University of Arkansas for Medical Sciences,uams.edu,wikipedia,ok
106306,Arkansas Baptist College,arkansasbaptist.edu,google,ok
106315,Arkansas Beauty School-Little Rock,arbs.edu,duckduckgo,ok
106324,Arkansas Beauty College,arkansasbeautycollege.us,google,ok
106342,Lyon College,lyon.edu,google,ok
106351,Arkansas Technical School,arktech.edu,placeholder,ok
106397,University of Arkansas,uark.edu,duckduckgo,ok
106412,University of Arkansas at Pine Bluff,uapb.edu,google,ok
106449,Arkansas State University-Beebe,asub.edu,google,ok
106458,Arkansas State University,astate.edu,google,ok
106467,Arkansas Tech University,atu.edu,google,ok
106485,University of Arkansas at Monticello,uamont.edu,google,ok
106494,Arthur's Beauty College,arthursbeautycollege.com,google,ok
106546,Baptist Health College Little Rock,bhclr.edu,google,ok
106625,Black River Technical College,blackrivertech.edu,google,ok
106704,University of Central Arkansas,uca.edu,google,ok
106713,Central Baptist College,cbc.edu,google,ok
106795,Cossatot Community College of the University of Arkansas,cccua.edu,wikipedia,ok
106810,Crowley's Ridge College,crc.edu,google,ok
106883,East Arkansas Community College,eacc.edu,google,ok
106908,Paul Mitchell the School-Little Rock,paulmitchell.edu,google,ok
106980,National Park College,np.edu,google,ok
106999,University of Arkansas Community College-Batesville,uaccb.edu,google,ok
107044,Harding University,harding.edu,google,ok
107071,Henderson State University,hsu.edu,duckduckgo,ok
107080,Hendrix College,hendrix.edu,google,ok
107099,Hot Springs Beauty College,hotspringsbeautycollege.com,google,ok
107123,Jefferson Regional School of Nursing,jrmc.org,google,ok
107141,John Brown University,jbu.edu,google,ok
107220,Career Academy of Hair Design,beautynwa.com,google,ok
107293,Academy of Salon and Spa,academysalonspa.com,google,ok
107318,Arkansas State University Mid-South,asumidsouth.edu,google,ok
107327,Arkansas Northeastern College,anc.edu,google,ok
107442,New Tyler Barber College Inc,newtylerbarbercollege.edu,google,ok
107460,North Arkansas College,northark.edu,google,ok
107488,Northwest Technical Institute,nwti.edu,google,ok
107512,Ouachita Baptist University,obu.edu,google,ok
107521,Arkansas State University Three Rivers,asutr.edu,google,ok
107549,Ozarka College,ozarka.edu,google,ok
107558,University of the Ozarks,ozarks.edu,google,ok
107585,University of Arkansas Community College-Morrilton,uaccm.edu,placeholder,ok
107600,Philander Smith University,philander.edu,google,ok
107619,Phillips Community College of the University of Arkansas,pccua.edu,google,ok
107637,Southeast Arkansas College,seark.edu,placeholder,ok
107655,University of Aesthetics & Cosmetology,pcec.edu,google,ok
107664,University of Arkansas-Pulaski Technical College,uaptc.edu,google,ok
107725,University of Arkansas Hope-Texarkana,uaht.edu,placeholder,ok
107743,University of Arkansas Community College Rich Mountain,uarichmountain.edu,placeholder,ok
107789,Paul Mitchell the School-Arkansas,paulmitchell.edu,google,ok
107831,Searcy Beauty College,searcybeautycollege.com,duckduckgo,ok
107840,Shorter College,shortercollege.edu,duckduckgo,ok
107877,Williams Baptist University,williamsbaptistuniversity.com,duckduckgo,ok
107974,South Arkansas College,southark.edu,google,ok
107983,Southern Arkansas University Main Campus,saumag.edu,google,ok
107992,Southern Arkansas University Tech,sautech.edu,google,ok
108056,University of Arkansas System Office,uasys.edu,google,ok
108065,Velvatex College of Beauty Culture,velvatexcollege.com,placeholder,ok
108092,University of Arkansas-Fort Smith,uafs.edu,google,ok
108232,Academy of Art University,academyart.edu,google,ok
108269,Academy of Chinese Culture and Health Sciences,acchs.edu,google,ok
108667,College of Alameda,alameda.edu,google,ok
108807,Allan Hancock College,hancockcollege.edu,google,ok
108852,American Academy of Dramatic Arts-Los Angeles,aada.edu,google,ok
108861,Berkeley School of Theology,bst.edu,google,ok
108870,American Film Institute Conservatory,afi.com,google,ok
108977,American Beauty College,americanbeautycollege.edu,duckduckgo,ok
109040,American Career College-Los Angeles,americancareercollege.edu,google,ok
109208,American River College,arc.losrios.edu,google,ok
109350,Antelope Valley Community College District,avc.edu,google,ok
109651,Art Center College of Design,artcenter.edu,google,ok
109721,Associated Technical College-Los Angeles,atcla.edu,google,ok
109730,Associated Technical College-San Diego,,google-favicon-256-found-domain,ok
109785,Azusa Pacific University,apu.edu,google,ok
109819,Bakersfield College,bakersfieldcollege.edu,google,ok
109907,Barstow Community College,barstow.edu,google,ok
109934,Bellus Academy-Chula Vista,bellusacademy.edu,google,ok
110060,Bethesda University,buc.edu,google,ok
110097,Biola University,biola.edu,google,ok
110194,Brownson Technical School,brownson.edu,placeholder,ok
110219,Bryan University,bryanuniversity.edu,google,ok
110246,Butte College,butte.edu,google,ok
110316,California Institute of Integral Studies,ciis.edu,google,ok
110334,Cabrillo College,cabrillo.edu,google,ok
110361,California Baptist University,calbaptist.edu,duckduckgo,ok
110370,California College of the Arts,cca.edu,google,ok
110398,University of California College of the Law-San Francisco,uclawsf.edu,google,ok
110404,California Institute of Technology,caltech.edu,google,ok
110413,California Lutheran University,callutheran.edu,google,ok
110422,California Polytechnic State University-San Luis Obispo,calpoly.edu,google,ok
110468,Alliant International University-San Diego,alliant.edu,google,ok
110486,California State University-Bakersfield,csub.edu,wikipedia,ok
110495,California State University-Stanislaus,csustan.edu,wikipedia,ok
110501,California State University-Chancellors Office,calstate.edu,google,ok
110510,California State University-San Bernardino,csusb.edu,google,ok
110529,California State Polytechnic University-Pomona,cpp.edu,google,ok
110538,California State University-Chico,csuchico.edu,wikipedia,ok
110547,California State University-Dominguez Hills,csudh.edu,google,ok
110556,California State University-Fresno,fresnostate.edu,google,ok
110565,California State University-Fullerton,fullerton.edu,wikipedia,ok
110574,California State University-East Bay,csueastbay.edu,wikipedia,ok
110583,California State University-Long Beach,csulb.edu,duckduckgo,ok
110592,California State University-Los Angeles,calstatela.edu,google,ok
110608,California State University-Northridge,csun.edu,duckduckgo,ok
110617,California State University-Sacramento,csus.edu,google,ok
110635,University of California-Berkeley,berkeley.edu,google,ok
110644,University of California-Davis,ucdavis.edu,google,ok
110653,University of California-Irvine,uci.edu,duckduckgo,ok
110662,University of California-Los Angeles,ucla.edu,google,ok
110671,University of California-Riverside,ucr.edu,wikipedia,ok
110680,University of California-San Diego,ucsd.edu,google,ok
110699,University of California-San Francisco,ucsf.edu,google,ok
110705,University of California-Santa Barbara,ucsb.edu,google,ok
110714,University of California-Santa Cruz,ucsc.edu,google,ok
110778,Sofia University,sofia.edu,google,ok
110875,California Beauty College,calbeautycollege.edu,google,ok
111045,Haven University,haven.edu,google,ok
111054,California Hair Design Academy,chdaschools.com,google,ok
111081,California Institute of the Arts,calarts.edu,google,ok
111188,California State University Maritime Academy,csum.edu,google,ok
111391,California Western School of Law,cwsl.edu,duckduckgo,ok
111434,Canada College,canadacollege.edu,google,ok
111461,College of the Canyons,canyons.edu,google,ok
111513,Career Academy of Beauty,caofb.com,google,ok
111638,Casa Loma College-Los Angeles,casalomacollege.edu,google,ok
111708,CET-San Diego,cetweb.edu,google,ok
111717,CET-San Jose,cetweb.edu,google,ok
111726,CET-El Centro,cetweb.edu,google,ok
111744,CET-Colton,cetweb.edu,google,ok
111762,CET-Watsonville,cetweb.edu,google,ok
111799,CET-Salinas,cetweb.edu,google,ok
111887,Cerritos College,cerritos.edu,wikipedia,ok
111896,Cerro Coso Community College,cerrocoso.edu,wikipedia,ok
111920,Chabot College,chabotcollege.edu,wikipedia,ok
111939,Chaffey College,chaffey.edu,google,ok
111948,Chapman University,chapman.edu,google,ok
111966,Charles R Drew University of Medicine and Science,cdrewu.edu,google,ok
112075,Concordia University-Irvine,cui.edu,google,ok
112084,San Diego Christian College,sdcc.edu,google,ok
112127,Church Divinity School of the Pacific,cdsp.edu,google,ok
112172,Citrus College,citruscollege.edu,google,ok
112181,Citrus Heights Beauty College,chbeautycollege.com,google,ok
112190,City College of San Francisco,ccsf.edu,google,ok
112251,Claremont Graduate University,cgu.edu,google,ok
112260,Claremont McKenna College,cmc.edu,google,ok
112288,Milan Institute-Visalia,milaninstitute.edu,google,ok
112367,Clovis Adult Education,clovisadult.cusd.com,placeholder,ok
112376,Coast Community College District Office,cccd.edu,placeholder,ok
112385,Coastline Community College,coastline.edu,placeholder,ok
112394,University of Silicon Valley,usv.edu,google,ok
112455,Coba Academy,coba.edu,google,ok
112525,Western University of Health Sciences,westernu.edu,google,ok
112561,Columbia College,gocolumbia.edu,duckduckgo,ok
112570,California College of ASU,californiacollege.asu.edu,google,ok
112686,Compton College,compton.edu,duckduckgo,ok
112817,Contra Costa Community College District Office,4cd.edu,placeholder,ok
112826,Contra Costa College,contracosta.edu,google,ok
113096,Cosumnes River College,crc.losrios.edu,google,ok
113111,Crafton Hills College,craftonhills.edu,wikipedia,ok
113193,Cuesta College,cuesta.edu,wikipedia,ok
113218,Cuyamaca College,cuyamaca.edu,wikipedia,ok
113236,Cypress College,cypresscollege.edu,google,ok
113333,De Anza College,deanza.edu,duckduckgo,ok
113449,International School of Beauty Inc,btyschool.com,google,ok
113573,College of the Desert,collegeofthedesert.edu,placeholder,ok
113582,Design Institute of San Diego,disd.edu,google,ok
113616,DHARMA REALM BUDDHIST UNIVERSITY,drbu.edu,google,ok
113634,Diablo Valley College,dvc.edu,google,ok
113698,Dominican University of California,dominican.edu,google,ok
113704,Dominican School of Philosophy & Theology,dspt.edu,google,ok
113856,East Los Angeles College,elac.edu,google,ok
113980,El Camino Community College District,elcamino.edu,wikipedia,ok
114114,Emperor's College of Traditional Oriental Medicine,emperors.edu,placeholder,ok
114266,Evergreen Valley College,evc.edu,google,ok
114354,FIDM-Fashion Institute of Design & Merchandising,fidm.edu,duckduckgo,ok
114433,Feather River Community College District,frc.edu,google,ok
114460,Federico Beauty Institute,federico.edu,google,ok
114549,Fielding Graduate University,fielding.edu,wikipedia,ok
114585,Five Branches University,fivebranches.edu,google,ok
114637,Redondo Beach Beauty College,rbbeautycollege.com,placeholder,ok
114716,Foothill College,foothill.edu,duckduckgo,ok
114734,Franciscan School of Theology,fst.edu,duckduckgo,ok
114761,Fredrick and Charles Beauty College,fandcbeauty.com,google,ok
114789,Fresno City College,fresnocitycollege.edu,wikipedia,ok
114813,Fresno Pacific University,fresno.edu,google,ok
114831,Foothill-De Anza Community College District,fhda.edu,google,ok
114840,Fuller Theological Seminary,fuller.edu,google,ok
114859,Fullerton College,fullcoll.edu,google,ok
114938,Gavilan College,gavilan.edu,google,ok
114947,Gemological Institute of America-Carlsbad,gia.edu,placeholder,ok
115001,Glendale Community College,glendale.edu,wikipedia,ok
115010,Glendale Career College,success.edu,google,ok
115083,Golden Gate University,ggu.edu,google,ok
115126,Golden West College,goldenwestcollege.edu,google,ok
115214,Graduate Theological Union,gtu.edu,google,ok
115287,Grossmont-Cuyamaca Community College District,gcccd.edu,placeholder,ok
115296,Grossmont College,grossmont.edu,wikipedia,ok
115357,Salon Success Academy-Riverside,salonsuccessacademy.com,google,ok
115393,Hartnell College,hartnell.edu,wikipedia,ok
115409,Harvey Mudd College,hmc.edu,google,ok
115658,Hilltop Beauty School,hilltopbeautyschool.com,google,ok
115746,Pacifica Graduate Institute,pacifica.edu,wikipedia,ok
115755,California State Polytechnic University-Humboldt,humboldt.edu,google,ok
115773,Humphreys University-Stockton and Modesto Campuses,humphreys.edu,google,ok
115861,Imperial Valley College,imperial.edu,google,ok
115931,Institute for Business and Technology,ibt.edu,google,ok
116226,Interior Designers Institute,idi.edu,google,ok
116439,Irvine Valley College,ivc.edu,google,ok
116563,Bellus Academy-El Cajon,bellusacademy.edu,google,ok
116846,American Jewish University,aju.edu,google,ok
117052,Reedley College,reedleycollege.edu,google,ok
117104,Life Pacific University,lifepacific.edu,google,ok
117140,University of La Verne,laverne.edu,google,ok
117168,Laguna College of Art and Design,lcad.edu,google,ok
117195,Lake Tahoe Community College,ltcc.edu,duckduckgo,ok
117238,Lancaster Beauty School,lancasterbeautyschool.com,google,ok
117247,Laney College,laney.edu,google,ok
117274,Lassen Community College,lassencollege.edu,google,ok
117283,Latin American Bible Institute,labi.edu,google,ok
117520,Life Chiropractic College West,lifewest.edu,google,ok
117557,Lincoln University,lincolnuca.edu,google,ok
117575,Southern California Seminary,socalsem.edu,google,ok
117627,La Sierra University,lasierra.edu,google,ok
117636,Loma Linda University,llu.edu,google,ok
117645,Long Beach City College,lbcc.edu,google,ok
117672,Southern California University of Health Sciences,scuhs.edu,placeholder,ok
117681,Los Angeles Community College District Office,laccd.edu,google,ok
117690,Los Angeles Harbor College,lahc.edu,google,ok
117706,Los Angeles Pierce College,lapc.edu,google,ok
117715,Los Angeles Southwest College,lasc.edu,google,ok
117724,Los Angeles Trade Technical College,lattc.edu,google,ok
117733,Los Angeles Valley College,lavc.edu,google,ok
117751,The Master's University and Seminary,masters.edu,google,ok
117788,Los Angeles City College,lacc.edu,google,ok
117803,Los Angeles County College of Nursing and Allied Health,dhs.lacounty.gov,google,ok
117867,Los Angeles Mission College,lamission.edu,google,ok
117894,Los Medanos College,losmedanos.edu,google,ok
117900,Los Rios Community College District Office,losrios.edu,google,ok
117946,Loyola Marymount University,lmu.edu,google,ok
117955,Lu Ross Academy,lurossacademy.com,google,ok
118134,Lyle's College of Beauty,lylescolleges.com,duckduckgo,ok
118143,Lyle's College of  Beauty,lylescolleges.com,duckduckgo,ok
118161,Lytles Redwood Empire Beauty College,lytlesrebc.edu,google,ok
118198,MTI College,campus.edu,google,ok
118347,College of Marin,marin.edu,google,ok
118684,Mendocino College,mendocino.edu,placeholder,ok
118693,Menlo College,menlo.edu,placeholder,ok
118718,Merced College,mccd.edu,google,ok
118772,Merritt College,merritt.edu,google,ok
118888,Northeastern University Oakland,oakland.northeastern.edu,google,ok
118912,MiraCosta College,miracosta.edu,wikipedia,ok
118930,Mission College,missioncollege.edu,google,ok
118958,Modern Beauty Academy,modernbeautyacademy.org,placeholder,ok
118976,Modesto Junior College,mjc.edu,duckduckgo,ok
118994,Moler Barber College,moler.org,google,ok
119058,Middlebury Institute of International Studies at Monterey,middlebury.edu,placeholder,ok
119067,Monterey Peninsula College,mpc.edu,duckduckgo,ok
119137,Moorpark College,moorparkcollege.edu,google,ok
119164,Mt San Antonio College,mtsac.edu,google,ok
119173,Mount Saint Mary's University,msmu.edu,google,ok
119216,Mt San Jacinto Community College District,msjc.edu,wikipedia,ok
119270,Musicians Institute,mi.edu,google,ok
119331,Napa Valley College,napavalley.edu,wikipedia,ok
119553,National Holistic Institute,nhi.edu,google,ok
119605,National University,nu.edu,google,ok
119678,Naval Postgraduate School,nps.edu,google,ok
119775,Newschool of Architecture and Design,newschoolarch.edu,google,ok
119951,North Adrian's College of Beauty Inc,adrians.edu,google,ok
120023,North Orange County Community College District,nocccd.edu,wikipedia,ok
120069,North-West College-Pomona,north-westcollege.edu,placeholder,ok
120078,North-West College-West Covina,nw.edu,google,ok
120087,North-West College-Van Nuys,north-westcollege.edu,placeholder,ok
120166,San Francisco Bay University,sfbu.edu,google,ok
120184,Notre Dame de Namur University,ndnu.edu,google,ok
120254,Occidental College,oxy.edu,wikipedia,ok
120290,Ohlone College,ohlone.edu,google,ok
120342,Orange Coast College,orangecoastcollege.edu,google,ok
120403,Otis College of Art and Design,otis.edu,google,ok
120421,Oxnard College,oxnardcollege.edu,google,ok
120537,Hope International University,hiu.edu,google,ok
120661,Concorde Career College-San Diego,concorde.edu,placeholder,ok
120698,Palo Alto University,paloaltou.edu,google,ok
120768,Pacific Oaks College,pacificoaks.edu,google,ok
120795,Pacific School of Religion,psr.edu,duckduckgo,ok
120838,Pacific States University,psuca.edu,google,ok
120865,Pacific Union College,puc.edu,google,ok
120883,University of the Pacific,pacific.edu,google,ok
120953,Palo Verde College,paloverde.edu,wikipedia,ok
120971,Palomar College,www2.palomar.edu,google,ok
121044,Pasadena City College,pasadena.edu,wikipedia,ok
121150,Pepperdine University,pepperdine.edu,google,ok
121178,Peralta Community College System Office,peralta.edu,duckduckgo,ok
121257,Pitzer College,pitzer.edu,wikipedia,ok
121309,Point Loma Nazarene University,pointloma.edu,google,ok
121345,Pomona College,pomona.edu,google,ok
121363,Porterville College,portervillecollege.edu,placeholder,ok
121433,Professional Institute of Beauty,pib.edu,placeholder,ok
121619,Santa Ana College,sac.edu,duckduckgo,ok
121628,RAND School of Public Policy,pardeerand.edu,google,ok
121637,Shasta School of Cosmetology,shastaschoolofcosmetology.com,google,ok
121691,University of Redlands,redlands.edu,google,ok
121707,College of the Redwoods,redwoods.edu,google,ok
121859,Salon Success Academy-Upland,salonsuccessacademy.com,google,ok
121868,Salon Success Academy-Corona,salonsuccessacademy.com,google,ok
121886,Rio Hondo College,riohondo.edu,google,ok
121901,Riverside City College,rcc.edu,google,ok
122117,Dongguk University Los Angeles,dula.edu,google,ok
122180,Sacramento City College,scc.losrios.edu,google,ok
122205,Saddleback College,saddleback.edu,google,ok
122296,Samuel Merritt University,samuelmerritt.edu,google,ok
122320,San Diego Community College District-District Office,sdccd.edu,google,ok
122339,San Diego City College,sdcity.edu,google,ok
122375,San Diego Mesa College,sdmesa.edu,google,ok
122384,San Diego Miramar College,sdmiramar.edu,google,ok
122409,San Diego State University,sdsu.edu,google,ok
122436,University of San Diego,sandiego.edu,wikipedia,ok
122506,San Francisco Conservatory of Music,sfcm.edu,wikipedia,ok
122597,San Francisco State University,sfsu.edu,wikipedia,ok
122612,University of San Francisco,usfca.edu,google,ok
122649,San Joaquin College of Law,sjcl.edu,google,ok
122658,San Joaquin Delta College,deltacollege.edu,google,ok
122685,San Joaquin Valley College-Visalia,sjvc.edu,google,ok
122694,San Joaquin Valley College-Bakersfield,sjvc.edu,google,ok
122728,William Jessup University,jessup.edu,google,ok
122737,San Jose-Evergreen Community College District,sjeccd.edu,google,ok
122746,San Jose City College,sjcc.edu,wikipedia,ok
122755,San Jose State University,sjsu.edu,google,ok
122782,San Mateo County Community College District Office,smccd.edu,placeholder,ok
122791,College of San Mateo,collegeofsanmateo.edu,google,ok
122889,Santa Barbara City College,sbcc.edu,google,ok
122931,Santa Clara University,scu.edu,google,ok
122977,Santa Monica College,smc.edu,google,ok
123013,Santa Rosa Junior College,santarosa.edu,google,ok
123095,Saybrook University,saybrook.edu,google,ok
123165,Scripps College,scrippscollege.edu,google,ok
123217,College of the Sequoias,cos.edu,google,ok
123280,Shasta Bible College and Graduate School,shasta.edu,google,ok
123299,Shasta College,shastacollege.edu,duckduckgo,ok
123341,Sierra College,sierracollege.edu,google,ok
123350,Sierra College of Beauty,sierrabeautycollege.net,placeholder,ok
123448,Trinity Law School,tiu.edu,google,ok
123457,Simpson University,simpsonu.edu,google,ok
123484,College of the Siskiyous,siskiyous.edu,google,ok
123493,Charles A Jones Career and Education Center,caj.scusd.edu,google,ok
123509,Skyline College,skylinecollege.edu,google,ok
123527,San Bernardino Valley College,valleycollege.edu,google,ok
123554,Saint Mary's College of California,stmarys-ca.edu,wikipedia,ok
123563,Solano Community College,welcome.solano.edu,google,ok
123572,Sonoma State University,sonoma.edu,google,ok
123633,South Baylo University,southbaylo.edu,google,ok
123642,South Coast College,southcoastcollege.edu,google,ok
123651,Vanguard University of Southern California,vanguard.edu,google,ok
123679,Concorde Career College-Garden Grove,concorde.edu,placeholder,ok
123800,Southwestern College,swccd.edu,placeholder,ok
123916,Starr King School for the Ministry,sksm.edu,google,ok
123925,State Center Community College District,scccd.edu,placeholder,ok
123943,Marshall B Ketchum University,ketchum.edu,google,ok
123952,Southern California Institute of Architecture,sciarc.edu,google,ok
123961,University of Southern California,usc.edu,google,ok
123970,Southwestern Law School,swlaw.edu,google,ok
124113,Taft College,taftcollege.edu,google,ok
124283,Claremont School of Theology,cst.edu,google,ok
124292,Thomas Aquinas College,thomasaquinas.edu,google,ok
124487,Epic Bible College & Graduate School,epic.edu,google,ok
124557,University of California-System Administration Central Office,ucop.edu,placeholder,ok
124681,UEI College-Huntington Park,uei.edu,google-favicon-256,ok
124706,Concorde Career College-San Bernardino,concorde.edu,placeholder,ok
124937,Concorde Career College-North Hollywood,concorde.edu,placeholder,ok
125019,Ventura County Community College System Office,vcccd.edu,placeholder,ok
125028,Ventura College,venturacollege.edu,google,ok
125037,The Colleges of Law at Ventura,collegesoflaw.edu,google,ok
125082,Bridges Beauty College,bridgesbeautycollege.com,google,ok
125091,Victor Valley College,vvc.edu,google,ok
125170,Berkeley City College,berkeleycitycollege.edu,google,ok
125222,West Valley Mission Community College District Office,wvm.edu,google,ok
125231,Walden University,waldenu.edu,google,ok
125310,Waynes College of Beauty,waynescollegeofbeauty.com,placeholder,ok
125462,Coalinga College,westhillscollege.com,google,ok
125471,West Los Angeles College,wlac.edu,google,ok
125499,West Valley College,westvalley.edu,google,ok
125532,Carrington College-Sacramento,carrington.edu,google,ok
125718,Westminster Theological Seminary in California,wscal.edu,google,ok
125727,Westmont College,westmont.edu,google,ok
125763,Whittier College,whittier.edu,google,ok
125897,Woodbury University,woodbury.edu,google,ok
126012,The Wright Institute,wi.edu,placeholder,ok
126049,Thomas Jefferson School of Law,tjsl.edu,google,ok
126076,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,yoec.edu,google,ok
126100,Yosemite Community College District Office,yosemite.edu,duckduckgo,ok
126119,Yuba College,yc.yccd.edu,wikipedia,ok
126182,Adams State University,adams.edu,google,ok
126207,Aims Community College,aims.edu,google,ok
126289,Arapahoe Community College,arapahoe.edu,wikipedia,ok
126359,Bel-Rea Institute of Animal Technology,belrea.edu,google,ok
126562,University of Colorado Denver/Anschutz Medical Campus,ucdenver.edu,google,ok
126580,University of Colorado Colorado Springs,uccs.edu,google,ok
126605,Spartan College of Aeronautics and Technology,spartan.edu,google,ok
126614,University of Colorado Boulder,colorado.edu,google,ok
126669,Colorado Christian University,ccu.edu,google,ok
126678,Colorado College,coloradocollege.edu,google,ok
126687,Concorde Career College-Aurora,concorde.edu,placeholder,ok
126711,Colorado Mountain College,coloradomtn.edu,google,ok
126748,Colorado Northwestern Community College,cncc.edu,placeholder,ok
126775,Colorado School of Mines,mines.edu,duckduckgo,ok
126784,Colorado School of Trades,schooloftrades.edu,google,ok
126818,Colorado State University-Fort Collins,colostate.edu,wikipedia,ok
126827,Colorado Technical University-Colorado Springs,coloradotech.edu,google,ok
126863,Community College of Aurora,ccaurora.edu,google,ok
126915,Technical College of the Rockies,tcr.edu,google,ok
126942,Community College of Denver,ccd.edu,google,ok
126951,Lincoln College of Technology-Denver,lincolntech.edu,google,ok
126979,Denver Seminary,denverseminary.edu,google,ok
127060,University of Denver,du.edu,google,ok
127158,Emily Griffith Technical College,emilygriffith.edu,google,ok
127185,Fort Lewis College,fortlewis.edu,google,ok
127200,Front Range Community College,frontrange.edu,wikipedia,ok
127273,Iliff School of Theology,iliff.edu,google,ok
127316,International Salon and Spa Academy,csbeautyschools.com,google,ok
127389,Lamar Community College,lamarcc.edu,google,ok
